Database_name,query,alias,count
Aircontrol,select max(id) from users,user_max_id,
Aircontrol,select max(id) from role_access,role_access_max_id,
Aircontrol,select max(id) from map_user_sim_order,map_user_sim_order_max_id,
Aircontrol,select max(id) from sim_range,sim_range_max_id,
Aircontrol,select max(id) from order_shipping_status,order_shipping_status_max_id,
Aircontrol,select max(id) from sim_event_log,sim_event_log_max_id,
Aircontrol,select max(id) from accounts,accounts_max_id,
Aircontrol,select max(id) from assets,assets_max_id,
Aircontrol,select max(id) from assets_extended,assets_extended_max_id,
Aircontrol,select count(*) from accounts,accounts_count,0
Aircontrol,select count(*) from map_user_sim_order,map_user_sim_order_count,0
Aircontrol,select count(*) from sim_range,sim_range_count,0
Aircontrol,select count(*) from order_shipping_status,order_shipping_status_count,0
Aircontrol,select count(*) from sim_event_log,sim_event_log_count,0
Aircontrol,select count(*) from users,users_count,0
Aircontrol,select count(*) from role_access,role_access_count,0
Aircontrol,select count(*) from assets,assets_count,0
Aircontrol,select count(*) from assets_extended,assets_extended_count,0
RouterDB,select max(id) from sim_map,sim_map_max_id,40250
RouterDB,select max(id) from sim_donor_identfiers,sim_donor_identfiers_max_id,28310
