Database,Table_Name,pre_mig_maxid,post_mig_maxid,offset,post_mig_minid,create_date
maxis_dev_mg,assets_extended,281954,281954,5,281959,2024-04-02 16:46:18
maxis_dev_mg,assets,281954,281954,5,281959,2024-04-02 16:46:18
maxis_dev_mg,apn_ip_mapping,64496,64496,5,64501,2024-04-02 16:46:18
maxis_dev_mg,Service_Apn_ip,281957,281957,5,281962,2024-04-02 16:46:18
maxis_dev_mg,sim_provisioned_range_details,0,0,5,5,2024-04-02 16:46:18
maxis_dev_mg,sim_provisioned_ranges_level1,398,398,5,403,2024-04-02 16:46:18
maxis_dev_mg,sim_provisioned_ranges_level2,398,398,5,403,2024-04-02 16:46:18
maxis_dev_mg,sim_provisioned_ranges_level3,398,398,5,403,2024-04-02 16:46:18
maxis_dev_mg,sim_provisioned_ranges_level4,227,227,5,232,2024-04-02 16:46:18
maxis_dev_mg,sim_provisioned_ranges_level5,48,48,5,53,2024-04-02 16:46:18
maxis_dev_mg,sim_provisioned_ranges_level6,0,0,5,5,2024-04-02 16:46:18
maxis_dev_mg,service_plan,205184,205184,5,205189,2024-04-02 16:46:18
maxis_dev_mg,device_rate_plan,205432,205432,5,205437,2024-04-02 16:46:18
maxis_dev_mg,accounts,538036,538036,5,538041,2024-04-02 16:46:18
maxis_dev_mg,contact_info,566273,566273,5,566278,2024-04-02 16:46:18
maxis_dev_mg,account_extended,538036,538036,5,538041,2024-04-02 16:46:18
maxis_dev_mg,account_goup_mappings,538003,538003,5,538008,2024-04-02 16:46:18
maxis_dev_mg,zones,1079554,1079554,5,1079559,2024-04-02 16:46:18
maxis_dev_mg,zone_to_country,1079608,1079608,5,1079613,2024-04-02 16:46:18
maxis_dev_mg,role_access,5679,5679,5,5684,2024-04-02 16:46:18
maxis_dev_mg,role_to_screen_mapping,284000,284000,5,284005,2024-04-02 16:46:18
maxis_dev_mg,role_to_tab_mapping,115734,115734,5,115739,2024-04-02 16:46:18
maxis_dev_mg,price_model_rate_plan,1079531,1079531,5,1079536,2024-04-02 16:46:18
maxis_dev_mg,price_to_model_type,544605,544605,5,544610,2024-04-02 16:46:18
maxis_dev_mg,pricing_categories,1079358,1079358,5,1079363,2024-04-02 16:46:18
maxis_dev_mg,whole_sale_rate_plan,539659,539659,5,539664,2024-04-02 16:46:18
maxis_dev_mg,whole_sale_to_pricing_categories,10670,10670,5,10675,2024-04-02 16:46:18
maxis_dev_mg,users,2180,2180,5,2185,2024-04-02 16:46:18
maxis_dev_mg,user_extended_accounts,480,480,5,485,2024-04-02 16:46:18
maxis_dev_mg,user_details,2182,2182,5,2187,2024-04-02 16:46:18
maxis_dev_mg,migration_account_extended,542010,542010,5,542015,2024-04-02 16:46:18
maxis_dev_mg,migration_account_goup_mappings,541462,541462,5,541467,2024-04-02 16:46:18
maxis_dev_mg,migration_accounts,542008,542008,5,542013,2024-04-02 16:46:18
maxis_dev_mg,migration_assest_id,0,0,5,5,2024-04-02 16:46:18
maxis_dev_mg,migration_assets,286448,286448,5,286453,2024-04-02 16:46:18
maxis_dev_mg,migration_assets_extended,288581,288581,5,288586,2024-04-02 16:46:18
maxis_dev_mg,migration_contact_info,566273,566273,5,566278,2024-04-02 16:46:18
maxis_dev_mg,migration_device_rate_plan,205432,205432,5,205437,2024-04-02 16:46:18
maxis_dev_mg,migration_device_rate_plan_error_history,204864,204864,5,204869,2024-04-02 16:46:18
maxis_dev_mg,migration_price_model_rate_plan,1079531,1079531,5,1079536,2024-04-02 16:46:18
maxis_dev_mg,migration_price_to_model_type,544605,544605,5,544610,2024-04-02 16:46:18
maxis_dev_mg,migration_pricing_categories,1079358,1079358,5,1079363,2024-04-02 16:46:18
maxis_dev_mg,migration_role_access,5679,5679,5,5684,2024-04-02 16:46:18
maxis_dev_mg,migration_role_to_screen_mapping,284000,284000,5,284005,2024-04-02 16:46:18
maxis_dev_mg,migration_role_to_tab_mapping,115734,115734,5,115739,2024-04-02 16:46:18
maxis_dev_mg,migration_service_apn_details,282065,282065,5,282070,2024-04-02 16:46:18
maxis_dev_mg,migration_service_apn_details_error_history,265139,265139,5,265144,2024-04-02 16:46:18
maxis_dev_mg,migration_service_apn_ip,281957,281957,5,281962,2024-04-02 16:46:18
maxis_dev_mg,migration_service_apn_ip_error_history,220513,220513,5,220518,2024-04-02 16:46:18
maxis_dev_mg,migration_service_plan,205184,205184,5,205189,2024-04-02 16:46:18
maxis_dev_mg,migration_sim_provisioned_range_details,285864,285864,5,285869,2024-04-02 16:46:18
maxis_dev_mg,migration_sim_provisioned_range_details_error_datails,0,0,5,5,2024-04-02 16:46:18
maxis_dev_mg,migration_sim_provisioned_range_details_error_history,285864,285864,5,285869,2024-04-02 16:46:18
maxis_dev_mg,migration_sim_provisioned_ranges_level5,205098,205098,5,205103,2024-04-02 16:46:18
maxis_dev_mg,migration_tracking_history,4,4,5,9,2024-04-02 16:46:18
maxis_dev_mg,migration_user_details,2182,2182,5,2187,2024-04-02 16:46:18
maxis_dev_mg,migration_user_extended_accounts,2373,2373,5,2378,2024-04-02 16:46:18
maxis_dev_mg,migration_users,2180,2180,5,2185,2024-04-02 16:46:18
maxis_dev_mg,migration_users_dummy,0,0,5,5,2024-04-02 16:46:18
maxis_dev_mg,migration_whole_sale_rate_plan,539659,539659,5,539664,2024-04-02 16:46:18
maxis_dev_mg,migration_whole_sale_to_pricing_categories,10670,10670,5,10675,2024-04-02 16:46:18
maxis_dev_mg,migration_zone_to_country,18187484,18187484,5,18187489,2024-04-02 16:46:18
maxis_dev_mg,migration_zones,1079554,1079554,5,1079559,2024-04-02 16:46:18
maxis_dev_cdr,cdr_sms_details_daily,256190,256190,5,256195,2024-04-02 16:46:18
maxis_dev_cdr,cdr_voice_details_daily,1152,1152,5,1157,2024-04-02 16:46:18
maxis_dev_cdr,cdr_data_details_daily,7377128,7377128,5,7377133,2024-04-02 16:46:18
development_goup_router_maxis_mgr,sim_home_identifiers,1734508,1734508,5,1734513,2024-04-02 16:46:18
development_goup_router_maxis_mgr,sim_donor_identfiers,1716840,1716840,5,1716845,2024-04-02 16:46:18
development_goup_router_maxis_mgr,sim_map ,293258,293258,5,293263,2024-04-02 16:46:18
