Database,Table_Name,Before_Execution
maxis_dev_mg,assets_extended,281954
maxis_dev_mg,assets,281954
maxis_dev_mg,apn_ip_mapping,64496
maxis_dev_mg,Service_Apn_ip,281957
maxis_dev_mg,sim_provisioned_range_details,
maxis_dev_mg,sim_provisioned_ranges_level1,398
maxis_dev_mg,sim_provisioned_ranges_level2,398
maxis_dev_mg,sim_provisioned_ranges_level3,398
maxis_dev_mg,sim_provisioned_ranges_level4,227
maxis_dev_mg,sim_provisioned_ranges_level5,48
maxis_dev_mg,sim_provisioned_ranges_level6,
maxis_dev_mg,service_plan,205184
maxis_dev_mg,device_rate_plan,205432
maxis_dev_mg,accounts,538036
maxis_dev_mg,contact_info,566273
maxis_dev_mg,account_extended,538036
maxis_dev_mg,account_goup_mappings,538003
maxis_dev_mg,zones,1079554
maxis_dev_mg,zone_to_country,1079608
maxis_dev_mg,role_access,5679
maxis_dev_mg,role_to_screen_mapping,284000
maxis_dev_mg,role_to_tab_mapping,115734
maxis_dev_mg,price_model_rate_plan,1079531
maxis_dev_mg,price_to_model_type,544605
maxis_dev_mg,pricing_categories,1079358
maxis_dev_mg,whole_sale_rate_plan,539659
maxis_dev_mg,whole_sale_to_pricing_categories,10670
maxis_dev_mg,users,2180
maxis_dev_mg,user_extended_accounts,480
maxis_dev_mg,user_details,2182
maxis_dev_mg,migration_account_extended,542010
maxis_dev_mg,migration_account_goup_mappings,541462
maxis_dev_mg,migration_accounts,542008
maxis_dev_mg,migration_assest_id,
maxis_dev_mg,migration_assets,286448
maxis_dev_mg,migration_assets_extended,288581
maxis_dev_mg,migration_contact_info,566273
maxis_dev_mg,migration_device_rate_plan,205432
maxis_dev_mg,migration_device_rate_plan_error_history,204864
maxis_dev_mg,migration_price_model_rate_plan,1079531
maxis_dev_mg,migration_price_to_model_type,544605
maxis_dev_mg,migration_pricing_categories,1079358
maxis_dev_mg,migration_role_access,5679
maxis_dev_mg,migration_role_to_screen_mapping,284000
maxis_dev_mg,migration_role_to_tab_mapping,115734
maxis_dev_mg,migration_service_apn_details,282065
maxis_dev_mg,migration_service_apn_details_error_history,265139
maxis_dev_mg,migration_service_apn_ip,281957
maxis_dev_mg,migration_service_apn_ip_error_history,220513
maxis_dev_mg,migration_service_plan,205184
maxis_dev_mg,migration_sim_provisioned_range_details,285864
maxis_dev_mg,migration_sim_provisioned_range_details_error_datails,
maxis_dev_mg,migration_sim_provisioned_range_details_error_history,285864
maxis_dev_mg,migration_sim_provisioned_ranges_level5,205098
maxis_dev_mg,migration_tracking_history,4
maxis_dev_mg,migration_user_details,2182
maxis_dev_mg,migration_user_extended_accounts,2373
maxis_dev_mg,migration_users,2180
maxis_dev_mg,migration_users_dummy,
maxis_dev_mg,migration_whole_sale_rate_plan,539659
maxis_dev_mg,migration_whole_sale_to_pricing_categories,10670
maxis_dev_mg,migration_zone_to_country,18187484
maxis_dev_mg,migration_zones,1079554
maxis_dev_cdr,cdr_sms_details_daily,256190
maxis_dev_cdr,cdr_voice_details_daily,1152
maxis_dev_cdr,cdr_data_details_daily,7377128
development_goup_router_maxis_mgr,sim_home_identifiers,1734508
development_goup_router_maxis_mgr,sim_donor_identfiers,1716840
development_goup_router_maxis_mgr,sim_map ,293258
